id,name,genre,type1,type2,generation
631,Heatmor, ,Fire, ,5
632,Durant, ,Bug,Steel,5
633,Deino, ,Dark,Dragon,5
634,Zweilous, ,Dark,Dragon,5
635,Hydreigon, ,Dark,Dragon,5
636,Larvesta, ,Bug,Fire,5
637,Volcarona, ,Bug,Fire,5
638,Cobalion, ,Steel,Fighting,5
639,Terrakion, ,Rock,Fighting,5
640,Virizion, ,Grass,Fighting,5
641,Tornadus,Incarnate Forme,Flying, ,5
641,Tornadus,Therian Forme,Flying, ,5
642,Thundurus,Incarnate Forme,Electric,Flying,5
642,Thundurus,Therian Forme,Electric,Flying,5
643,Reshiram, ,Dragon,Fire,5
644,Zekrom, ,Dragon,Electric,5
645,Landorus,Incarnate Forme,Ground,Flying,5
645,Landorus,Therian Forme,Ground,Flying,5
646,Kyurem, ,Dragon,Ice,5
646,Kyurem,White Kyurem,Dragon,Ice,5
646,Kyurem,Black Kyurem,Dragon,Ice,5
647,Keldeo,Ordinary Form,Water,Fighting,5
647,Keldeo,Resolute Form,Water,Fighting,5
648,Meloetta,Aria Forme,Normal,Psychic,5
648,Meloetta,Pirouette Forme,Normal,Fighting,5
649,Genesect, ,Bug,Steel,5
3,Venusaur,Mega Venusaur,Grass,Poison,6
6,Charizard,Mega Charizard X,Fire,Dragon,6
6,Charizard,Mega Charizard Y,Fire,Flying,6
9,Blastoise,Mega Blastoise,Water, ,6
15,Beedrill,Mega Beedrill,Bug,Poison,6
18,Pidgeot,Mega Pidgeot,Normal,Flying,6
65,Alakazam,Mega Alakazam,Psychic, ,6
80,Slowbro,Mega Slowbro,Water,Psychic,6
94,Gengar,Mega Gengar,Ghost,Poison,6
115,Kangaskhan,Mega Kangaskhan,Normal, ,6
127,Pinsir,Mega Pinsir,Bug,Flying,6
130,Gyarados,Mega Gyarados,Water,Dark,6
142,Aerodactyl,Mega Aerodactyl,Rock,Flying,6
150,Mewtwo,Mega Mewtwo X,Psychic,Fighting,6
150,Mewtwo,Mega Mewtwo Y,Psychic, ,6
181,Ampharos,Mega Ampharos,Electric,Dragon,6
208,Steelix,Mega Steelix,Steel,Ground,6
212,Scizor,Mega Scizor,Bug,Steel,6
214,Heracross,Mega Heracross,Bug,Fighting,6
229,Houndoom,Mega Houndoom,Dark,Fire,6
248,Tyranitar,Mega Tyranitar,Rock,Dark,6
254,Sceptile,Mega Sceptile,Grass,Dragon,6
257,Blaziken,Mega Blaziken,Fire,Fighting,6
260,Swampert,Mega Swampert,Water,Ground,6
282,Gardevoir,Mega Gardevoir,Psychic,Fairy,6
302,Sableye,Mega Sableye,Dark,Ghost,6
303,Mawile,Mega Mawile,Steel,Fairy,6
306,Aggron,Mega Aggron,Steel, ,6
308,Medicham,Mega Medicham,Fighting,Psychic,6
310,Manectric,Mega Manectric,Electric, ,6
319,Sharpedo,Mega Sharpedo,Water,Dark,6
323,Camerupt,Mega Camerupt,Fire,Ground,6
334,Altaria,Mega Altaria,Dragon,Fairy,6
354,Banette,Mega Banette,Ghost, ,6
359,Absol,Mega Absol,Dark, ,6
362,Glalie,Mega Glalie,Ice, ,6
373,Salamence,Mega Salamence,Dragon,Flying,6
376,Metagross,Mega Metagross,Steel,Psychic,6
380,Latias,Mega Latias,Dragon,Psychic,6
381,Latios,Mega Latios,Dragon,Psychic,6
382,Kyogre,Primal Kyogre,Water, ,6
383,Groudon,Primal Groudon,Ground,Fire,6
384,Rayquaza,Mega Rayquaza,Dragon,Flying,6
428,Lopunny,Mega Lopunny,Normal,Fighting,6
445,Garchomp,Mega Garchomp,Dragon,Ground,6
448,Lucario,Mega Lucario,Fighting,Steel,6
460,Abomasnow,Mega Abomasnow,Grass,Ice,6
475,Gallade,Mega Gallade,Psychic,Fighting,6
531,Audino,Mega Audino,Normal,Fairy,6
650,Chespin, ,Grass, ,6
651,Quilladin, ,Grass, ,6
652,Chesnaught, ,Grass,Fighting,6
653,Fennekin, ,Fire, ,6
654,Braixen, ,Fire, ,6
655,Delphox, ,Fire,Psychic,6
656,Froakie, ,Water, ,6
657,Frogadier, ,Water, ,6
658,Greninja, ,Water,Dark,6
659,Bunnelby, ,Normal, ,6
660,Diggersby, ,Normal,Ground,6
661,Fletchling, ,Normal,Flying,6
662,Fletchinder, ,Fire,Flying,6
663,Talonflame, ,Fire,Flying,6
664,Scatterbug, ,Bug, ,6
665,Spewpa, ,Bug, ,6
666,Vivillon, ,Bug,Flying,6
667,Litleo, ,Fire,Normal,6
668,Pyroar, ,Fire,Normal,6
669,Flabébé, ,Fairy, ,6
670,Floette, ,Fairy, ,6
671,Florges, ,Fairy, ,6
672,Skiddo, ,Grass, ,6
673,Gogoat, ,Grass, ,6
674,Pancham, ,Fighting, ,6
675,Pangoro, ,Fighting,Dark,6
676,Furfrou, ,Normal, ,6
677,Espurr, ,Psychic, ,6
678,Meowstic,Male,Psychic, ,6
678,Meowstic,Female,Psychic, ,6
679,Honedge, ,Steel,Ghost,6
680,Doublade, ,Steel,Ghost,6
681,Aegislash,Shield Forme,Steel,Ghost,6
681,Aegislash,Blade Forme,Steel,Ghost,6
682,Spritzee, ,Fairy, ,6
683,Aromatisse, ,Fairy, ,6
684,Swirlix, ,Fairy, ,6
685,Slurpuff, ,Fairy, ,6
686,Inkay, ,Dark,Psychic,6
687,Malamar, ,Dark,Psychic,6
688,Binacle, ,Rock,Water,6
689,Barbaracle, ,Rock,Water,6
690,Skrelp, ,Poison,Water,6
691,Dragalge, ,Poison,Dragon,6
692,Clauncher, ,Water, ,6
693,Clawitzer, ,Water, ,6
694,Helioptile, ,Electric,Normal,6
695,Heliolisk, ,Electric,Normal,6
696,Tyrunt, ,Rock,Dragon,6
697,Tyrantrum, ,Rock,Dragon,6
698,Amaura, ,Rock,Ice,6
699,Aurorus, ,Rock,Ice,6
700,Sylveon, ,Fairy, ,6
701,Hawlucha, ,Fighting,Flying,6
702,Dedenne, ,Electric,Fairy,6
703,Carbink, ,Rock,Fairy,6
704,Goomy, ,Dragon, ,6
705,Sliggoo, ,Dragon, ,6
706,Goodra, ,Dragon, ,6
707,Klefki, ,Steel,Fairy,6
708,Phantump, ,Ghost,Grass,6
709,Trevenant, ,Ghost,Grass,6
710,Pumpkaboo,Average Size,Ghost,Grass,6
710,Pumpkaboo,Small Size,Ghost,Grass,6
710,Pumpkaboo,Large Size,Ghost,Grass,6
710,Pumpkaboo,Super Size,Ghost,Grass,6
711,Gourgeist,Average Size,Ghost,Grass,6
711,Gourgeist,Small Size,Ghost,Grass,6
711,Gourgeist,Large Size,Ghost,Grass,6
711,Gourgeist,Super Size,Ghost,Grass,6
712,Bergmite, ,Ice, ,6
713,Avalugg, ,Ice, ,6
714,Noibat, ,Flying,Dragon,6
715,Noivern, ,Flying,Dragon,6
716,Xerneas, ,Fairy, ,6
717,Yveltal, ,Dark,Flying,6
718,Zygarde50% Forme, ,Dragon,Ground,6
719,Diancie, ,Rock,Fairy,6
719,Diancie,Mega Diancie,Rock,Fairy,6
720,Hoopa,Hoopa Confined,Psychic,Ghost,6
720,Hoopa,Hoopa Unbound,Psychic,Dark,6
721,Volcanion, ,Fire,Water,6
19,Rattata,Alolan Rattata,Dark,Normal,7
20,Raticate,Alolan Raticate,Dark,Normal,7
25,Pikachu,Partner Pikachu,Electric, ,7
26,Raichu,Alolan Raichu,Electric,Psychic,7
27,Sandshrew,Alolan Sandshrew,Ice,Steel,7
28,Sandslash,Alolan Sandslash,Ice,Steel,7
37,Vulpix,Alolan Vulpix,Ice, ,7
38,Ninetales,Alolan Ninetales,Ice,Fairy,7
50,Diglett,Alolan Diglett,Ground,Steel,7
51,Dugtrio,Alolan Dugtrio,Ground,Steel,7
52,Meowth,Alolan Meowth,Dark, ,7
53,Persian,Alolan Persian,Dark, ,7
74,Geodude,Alolan Geodude,Rock,Electric,7
75,Graveler,Alolan Graveler,Rock,Electric,7
76,Golem,Alolan Golem,Rock,Electric,7
88,Grimer,Alolan Grimer,Poison,Dark,7
89,Muk,Alolan Muk,Poison,Dark,7
103,Exeggutor,Alolan Exeggutor,Grass,Dragon,7
105,Marowak,Alolan Marowak,Fire,Ghost,7
133,Eevee,Partner Eevee,Normal, ,7
658,Greninja,Ash-Greninja,Water,Dark,7
718,Zygarde10% Forme, ,Dragon,Ground,7
718,Zygarde,Complete Forme,Dragon,Ground,7
722,Rowlet, ,Grass,Flying,7
723,Dartrix, ,Grass,Flying,7
724,Decidueye, ,Grass,Ghost,7
725,Litten, ,Fire, ,7
726,Torracat, ,Fire, ,7
727,Incineroar, ,Fire,Dark,7
728,Popplio, ,Water, ,7
729,Brionne, ,Water, ,7
730,Primarina, ,Water,Fairy,7
731,Pikipek, ,Normal,Flying,7
732,Trumbeak, ,Normal,Flying,7
733,Toucannon, ,Normal,Flying,7
734,Yungoos, ,Normal, ,7
735,Gumshoos, ,Normal, ,7
736,Grubbin, ,Bug, ,7
737,Charjabug, ,Bug,Electric,7
738,Vikavolt, ,Bug,Electric,7
739,Crabrawler, ,Fighting, ,7
740,Crabominable, ,Fighting,Ice,7
741,Oricorio,Baile Style,Fire,Flying,7
741,Oricorio,Pom-Pom Style,Electric,Flying,7
741,Oricorio,Pa'u Style,Psychic,Flying,7
741,Oricorio,Sensu Style,Ghost,Flying,7
742,Cutiefly, ,Bug,Fairy,7
743,Ribombee, ,Bug,Fairy,7
744,Rockruff, ,Rock, ,7
744,Rockruff,Own Tempo Rockruff,Rock, ,7
745,Lycanroc,Midday Form,Rock, ,7
745,Lycanroc,Midnight Form,Rock, ,7
745,Lycanroc,Dusk Form,Rock, ,7
746,Wishiwashi,Solo Form,Water, ,7
746,Wishiwashi,School Form,Water, ,7
747,Mareanie, ,Poison,Water,7
748,Toxapex, ,Poison,Water,7
749,Mudbray, ,Ground, ,7
750,Mudsdale, ,Ground, ,7
751,Dewpider, ,Water,Bug,7
752,Araquanid, ,Water,Bug,7
753,Fomantis, ,Grass, ,7
754,Lurantis, ,Grass, ,7
755,Morelull, ,Grass,Fairy,7
756,Shiinotic, ,Grass,Fairy,7
757,Salandit, ,Poison,Fire,7
758,Salazzle, ,Poison,Fire,7
759,Stufful, ,Normal,Fighting,7
760,Bewear, ,Normal,Fighting,7
761,Bounsweet, ,Grass, ,7
762,Steenee, ,Grass, ,7
763,Tsareena, ,Grass, ,7
764,Comfey, ,Fairy, ,7
765,Oranguru, ,Normal,Psychic,7
766,Passimian, ,Fighting, ,7
767,Wimpod, ,Bug,Water,7
768,Golisopod, ,Bug,Water,7
769,Sandygast, ,Ghost,Ground,7
770,Palossand, ,Ghost,Ground,7
771,Pyukumuku, ,Water, ,7
772,Type: Null, ,Normal, ,7
773,Silvally, ,Normal, ,7
774,Minior,Meteor Form,Rock,Flying,7
774,Minior,Core Form,Rock,Flying,7
775,Komala, ,Normal, ,7
776,Turtonator, ,Fire,Dragon,7
777,Togedemaru, ,Electric,Steel,7
778,Mimikyu, ,Ghost,Fairy,7
779,Bruxish, ,Water,Psychic,7
780,Drampa, ,Normal,Dragon,7
781,Dhelmise, ,Ghost,Grass,7
782,Jangmo-o, ,Dragon, ,7
783,Hakamo-o, ,Dragon,Fighting,7
784,Kommo-o, ,Dragon,Fighting,7
785,Tapu Koko, ,Electric,Fairy,7
786,Tapu Lele, ,Psychic,Fairy,7
787,Tapu Bulu, ,Grass,Fairy,7
788,Tapu Fini, ,Water,Fairy,7
789,Cosmog, ,Psychic, ,7
790,Cosmoem, ,Psychic, ,7
791,Solgaleo, ,Psychic,Steel,7
792,Lunala, ,Psychic,Ghost,7
793,Nihilego, ,Rock,Poison,7
794,Buzzwole, ,Bug,Fighting,7
795,Pheromosa, ,Bug,Fighting,7
796,Xurkitree, ,Electric, ,7
797,Celesteela, ,Steel,Flying,7
798,Kartana, ,Grass,Steel,7
799,Guzzlord, ,Dark,Dragon,7
800,Necrozma, ,Psychic, ,7
800,Necrozma,Dusk Mane Necrozma,Psychic,Steel,7
800,Necrozma,Dawn Wings Necrozma,Psychic,Ghost,7
800,Necrozma,Ultra Necrozma,Psychic,Dragon,7
801,Magearna, ,Steel,Fairy,7
802,Marshadow, ,Fighting,Ghost,7
803,Poipole, ,Poison, ,7
804,Naganadel, ,Poison,Dragon,7
805,Stakataka, ,Rock,Steel,7
806,Blacephalon, ,Fire,Ghost,7
807,Zeraora, ,Electric, ,7
808,Meltan, ,Steel, ,7
809,Melmetal, ,Steel, ,7
52,Meowth,Galarian Meowth,Steel, ,8
58,Growlithe,Hisuian Growlithe,Fire,Rock,8
59,Arcanine,Hisuian Arcanine,Fire,Rock,8
77,Ponyta,Galarian Ponyta,Psychic, ,8
78,Rapidash,Galarian Rapidash,Psychic,Fairy,8
79,Slowpoke,Galarian Slowpoke,Psychic, ,8
80,Slowbro,Galarian Slowbro,Poison,Psychic,8
83,Farfetch'd,Galarian Farfetch'd,Fighting, ,8
100,Voltorb,Hisuian Voltorb,Electric,Grass,8
101,Electrode,Hisuian Electrode,Electric,Grass,8
110,Weezing,Galarian Weezing,Poison,Fairy,8
122,Mr. Mime,Galarian Mr. Mime,Ice,Psychic,8
144,Articuno,Galarian Articuno,Psychic,Flying,8
145,Zapdos,Galarian Zapdos,Fighting,Flying,8
146,Moltres,Galarian Moltres,Dark,Flying,8
157,Typhlosion,Hisuian Typhlosion,Fire,Ghost,8
199,Slowking,Galarian Slowking,Poison,Psychic,8
211,Qwilfish,Hisuian Qwilfish,Dark,Poison,8
215,Sneasel,Hisuian Sneasel,Fighting,Poison,8
222,Corsola,Galarian Corsola,Ghost, ,8
263,Zigzagoon,Galarian Zigzagoon,Dark,Normal,8
264,Linoone,Galarian Linoone,Dark,Normal,8
483,Dialga,Origin Forme,Steel,Dragon,8
484,Palkia,Origin Forme,Water,Dragon,8
503,Samurott,Hisuian Samurott,Water,Dark,8
549,Lilligant,Hisuian Lilligant,Grass,Fighting,8
550,Basculin,White-Striped Form,Water, ,8
554,Darumaka,Galarian Darumaka,Ice, ,8
555,Darmanitan,Galarian Standard Mode,Ice, ,8
555,Darmanitan,Galarian Zen Mode,Ice,Fire,8
562,Yamask,Galarian Yamask,Ground,Ghost,8
570,Zorua,Hisuian Zorua,Normal,Ghost,8
571,Zoroark,Hisuian Zoroark,Normal,Ghost,8
618,Stunfisk,Galarian Stunfisk,Ground,Steel,8
628,Braviary,Hisuian Braviary,Psychic,Flying,8
705,Sliggoo,Hisuian Sliggoo,Steel,Dragon,8
706,Goodra,Hisuian Goodra,Steel,Dragon,8
713,Avalugg,Hisuian Avalugg,Ice,Rock,8
724,Decidueye,Hisuian Decidueye,Grass,Fighting,8
810,Grookey, ,Grass, ,8
811,Thwackey, ,Grass, ,8
812,Rillaboom, ,Grass, ,8
813,Scorbunny, ,Fire, ,8
814,Raboot, ,Fire, ,8
815,Cinderace, ,Fire, ,8
816,Sobble, ,Water, ,8
817,Drizzile, ,Water, ,8
818,Inteleon, ,Water, ,8
819,Skwovet, ,Normal, ,8
820,Greedent, ,Normal, ,8
821,Rookidee, ,Flying, ,8
822,Corvisquire, ,Flying, ,8
823,Corviknight, ,Flying,Steel,8
824,Blipbug, ,Bug, ,8
825,Dottler, ,Bug,Psychic,8
826,Orbeetle, ,Bug,Psychic,8
827,Nickit, ,Dark, ,8
828,Thievul, ,Dark, ,8
829,Gossifleur, ,Grass, ,8
830,Eldegoss, ,Grass, ,8
831,Wooloo, ,Normal, ,8
832,Dubwool, ,Normal, ,8
833,Chewtle, ,Water, ,8
834,Drednaw, ,Water,Rock,8
835,Yamper, ,Electric, ,8
836,Boltund, ,Electric, ,8
837,Rolycoly, ,Rock, ,8
838,Carkol, ,Rock,Fire,8
839,Coalossal, ,Rock,Fire,8
840,Applin, ,Grass,Dragon,8
841,Flapple, ,Grass,Dragon,8
842,Appletun, ,Grass,Dragon,8
843,Silicobra, ,Ground, ,8
844,Sandaconda, ,Ground, ,8
845,Cramorant, ,Flying,Water,8
846,Arrokuda, ,Water, ,8
847,Barraskewda, ,Water, ,8
848,Toxel, ,Electric,Poison,8
849,Toxtricity,Amped Form,Electric,Poison,8
849,Toxtricity,Low Key Form,Electric,Poison,8
850,Sizzlipede, ,Fire,Bug,8
851,Centiskorch, ,Fire,Bug,8
852,Clobbopus, ,Fighting, ,8
853,Grapploct, ,Fighting, ,8
854,Sinistea, ,Ghost, ,8
855,Polteageist, ,Ghost, ,8
856,Hatenna, ,Psychic, ,8
857,Hattrem, ,Psychic, ,8
858,Hatterene, ,Psychic,Fairy,8
859,Impidimp, ,Dark,Fairy,8
860,Morgrem, ,Dark,Fairy,8
861,Grimmsnarl, ,Dark,Fairy,8
862,Obstagoon, ,Dark,Normal,8
863,Perrserker, ,Steel, ,8
864,Cursola, ,Ghost, ,8
865,Sirfetch'd, ,Fighting, ,8
866,Mr. Rime, ,Ice,Psychic,8
867,Runerigus, ,Ground,Ghost,8
868,Milcery, ,Fairy, ,8
869,Alcremie, ,Fairy, ,8
870,Falinks, ,Fighting, ,8
871,Pincurchin, ,Electric, ,8
872,Snom, ,Ice,Bug,8
873,Frosmoth, ,Ice,Bug,8
874,Stonjourner, ,Rock, ,8
875,Eiscue,Ice Face,Ice, ,8
875,Eiscue,Noice Face,Ice, ,8
876,Indeedee,Male,Psychic,Normal,8
876,Indeedee,Female,Psychic,Normal,8
877,Morpeko,Full Belly Mode,Electric,Dark,8
877,Morpeko,Hangry Mode,Electric,Dark,8
878,Cufant, ,Steel, ,8
879,Copperajah, ,Steel, ,8
880,Dracozolt, ,Electric,Dragon,8
881,Arctozolt, ,Electric,Ice,8
882,Dracovish, ,Water,Dragon,8
883,Arctovish, ,Water,Ice,8
884,Duraludon, ,Steel,Dragon,8
885,Dreepy, ,Dragon,Ghost,8
886,Drakloak, ,Dragon,Ghost,8
887,Dragapult, ,Dragon,Ghost,8
888,Zacian,Hero of Many Battles,Fairy, ,8
888,Zacian,Crowned Sword,Fairy,Steel,8
889,Zamazenta,Hero of Many Battles,Fighting, ,8
889,Zamazenta,Crowned Shield,Fighting,Steel,8
890,Eternatus, ,Poison,Dragon,8
890,Eternatus,Eternamax,Poison,Dragon,8
891,Kubfu, ,Fighting, ,8
892,Urshifu,Single Strike Style,Fighting,Dark,8
892,Urshifu,Rapid Strike Style,Fighting,Water,8
893,Zarude, ,Dark,Grass,8
894,Regieleki, ,Electric, ,8
895,Regidrago, ,Dragon, ,8
896,Glastrier, ,Ice, ,8
897,Spectrier, ,Ghost, ,8
898,Calyrex, ,Psychic,Grass,8
898,Calyrex,Ice Rider,Psychic,Ice,8
898,Calyrex,Shadow Rider,Psychic,Ghost,8
899,Wyrdeer, ,Normal,Psychic,8
900,Kleavor, ,Bug,Rock,8
901,Ursaluna, ,Ground,Normal,8
902,Basculegion,Male,Water,Ghost,8
902,Basculegion,Female,Water,Ghost,8
903,Sneasler, ,Fighting,Poison,8
904,Overqwil, ,Dark,Poison,8
905,Enamorus,Incarnate Forme,Fairy,Flying,8
905,Enamorus,Therian Forme,Fairy,Flying,8
128,Tauros,Combat Breed,Fighting, ,9
128,Tauros,Blaze Breed,Fighting,Fire,9
128,Tauros,Aqua Breed,Fighting,Water,9
194,Wooper,Paldean Wooper,Poison,Ground,9
906,Sprigatito, ,Grass, ,9
907,Floragato, ,Grass, ,9
908,Meowscarada, ,Grass,Dark,9
909,Fuecoco, ,Fire, ,9
910,Crocalor, ,Fire, ,9
911,Skeledirge, ,Fire,Ghost,9
912,Quaxly, ,Water, ,9
913,Quaxwell, ,Water, ,9
914,Quaquaval, ,Water,Fighting,9
915,Lechonk, ,Normal, ,9
916,Oinkologne,Male,Normal, ,9
916,Oinkologne,Female,Normal, ,9
917,Tarountula, ,Bug, ,9
918,Spidops, ,Bug, ,9
919,Nymble, ,Bug, ,9
920,Lokix, ,Bug,Dark,9
921,Pawmi, ,Electric, ,9
922,Pawmo, ,Electric,Fighting,9
923,Pawmot, ,Electric,Fighting,9
924,Tandemaus, ,Normal, ,9
925,Maushold,Family of Four,Normal, ,9
925,Maushold,Family of Three,Normal, ,9
926,Fidough, ,Fairy, ,9
927,Dachsbun, ,Fairy, ,9
928,Smoliv, ,Grass,Normal,9
929,Dolliv, ,Grass,Normal,9
930,Arboliva, ,Grass,Normal,9
931,Squawkabilly,Green Plumage,Normal,Flying,9
931,Squawkabilly,Blue Plumage,Normal,Flying,9
931,Squawkabilly,Yellow Plumage,Normal,Flying,9
931,Squawkabilly,White Plumage,Normal,Flying,9
932,Nacli, ,Rock, ,9
933,Naclstack, ,Rock, ,9
934,Garganacl, ,Rock, ,9
935,Charcadet, ,Fire, ,9
936,Armarouge, ,Fire,Psychic,9
937,Ceruledge, ,Fire,Ghost,9
938,Tadbulb, ,Electric, ,9
939,Bellibolt, ,Electric, ,9
940,Wattrel, ,Electric,Flying,9
941,Kilowattrel, ,Electric,Flying,9
942,Maschiff, ,Dark, ,9
943,Mabosstiff, ,Dark, ,9
944,Shroodle, ,Poison,Normal,9
945,Grafaiai, ,Poison,Normal,9
946,Bramblin, ,Grass,Ghost,9
947,Brambleghast, ,Grass,Ghost,9
948,Toedscool, ,Ground,Grass,9
949,Toedscruel, ,Ground,Grass,9
950,Klawf, ,Rock, ,9
951,Capsakid, ,Grass, ,9
952,Scovillain, ,Grass,Fire,9
953,Rellor, ,Bug, ,9
954,Rabsca, ,Bug,Psychic,9
955,Flittle, ,Psychic, ,9
956,Espathra, ,Psychic, ,9
957,Tinkatink, ,Fairy,Steel,9
958,Tinkatuff, ,Fairy,Steel,9
959,Tinkaton, ,Fairy,Steel,9
960,Wiglett, ,Water, ,9
961,Wugtrio, ,Water, ,9
962,Bombirdier, ,Flying,Dark,9
963,Finizen, ,Water, ,9
964,Palafin,Zero Form,Water, ,9
964,Palafin,Hero Form,Water, ,9
965,Varoom, ,Steel,Poison,9
966,Revavroom, ,Steel,Poison,9
967,Cyclizar, ,Dragon,Normal,9
968,Orthworm, ,Steel, ,9
969,Glimmet, ,Rock,Poison,9
970,Glimmora, ,Rock,Poison,9
971,Greavard, ,Ghost, ,9
972,Houndstone, ,Ghost, ,9
973,Flamigo, ,Flying,Fighting,9
974,Cetoddle, ,Ice, ,9
975,Cetitan, ,Ice, ,9
976,Veluza, ,Water,Psychic,9
977,Dondozo, ,Water, ,9
978,Tatsugiri,Curly Form,Dragon,Water,9
978,Tatsugiri,Droopy Form,Dragon,Water,9
978,Tatsugiri,Stretchy Form,Dragon,Water,9
979,Annihilape, ,Fighting,Ghost,9
980,Clodsire, ,Poison,Ground,9
981,Farigiraf, ,Normal,Psychic,9
982,Dudunsparce,Two-Segment Form,Normal, ,9
982,Dudunsparce,Three-Segment Form,Normal, ,9
983,Kingambit, ,Dark,Steel,9
984,Great Tusk, ,Ground,Fighting,9
985,Scream Tail, ,Fairy,Psychic,9
986,Brute Bonnet, ,Grass,Dark,9
987,Flutter Mane, ,Ghost,Fairy,9
988,Slither Wing, ,Bug,Fighting,9
989,Sandy Shocks, ,Electric,Ground,9
990,Iron Treads, ,Ground,Steel,9
991,Iron Bundle, ,Ice,Water,9
992,Iron Hands, ,Fighting,Electric,9
993,Iron Jugulis, ,Dark,Flying,9
994,Iron Moth, ,Fire,Poison,9
995,Iron Thorns, ,Rock,Electric,9
996,Frigibax, ,Dragon,Ice,9
997,Arctibax, ,Dragon,Ice,9
998,Baxcalibur, ,Dragon,Ice,9
999,Gimmighoul,Chest Form,Ghost, ,9
999,Gimmighoul,Roaming Form,Ghost, ,9
1000,Gholdengo, ,Steel,Ghost,9
1001,Wo-Chien, ,Dark,Grass,9
1002,Chien-Pao, ,Dark,Ice,9
1003,Ting-Lu, ,Dark,Ground,9
1004,Chi-Yu, ,Dark,Fire,9
1005,Roaring Moon, ,Dragon,Dark,9
1006,Iron Valiant, ,Fairy,Fighting,9
1007,Koraidon, ,Fighting,Dragon,9
1008,Miraidon, ,Electric,Dragon,9
1009,Walking Wake, ,Water,Dragon,9
1010,Iron Leaves, ,Grass,Psychic,9